"Symbol","Price1","Sector"
"2PP.F",NA,"Financial Services"
"2PP.F",27.57,"Financial Services"
"2PP.F",27.65,"Financial Services"
"2PP.F",27.744,"Financial Services"
"2PP.F",27.748,"Financial Services"
"2PP.F",27.985,"Financial Services"
"2PP.F",28.19,"Financial Services"
"2PP.F",28.233,"Financial Services"
"2PP.F",28.35,"Financial Services"
"2PP.F",28.377,"Financial Services"
"2PP.F",28.43,"Financial Services"
"2PP.F",28.533,"Financial Services"
"2PP.F",28.578,"Financial Services"
"2PP.F",28.757,"Financial Services"
"2PP.F",28.8,"Financial Services"
"2PP.F",28.828,"Financial Services"
"2PP.F",28.988,"Financial Services"
"2PP.F",29.045,"Financial Services"
"2PP.F",29.059,"Financial Services"
"2PP.F",29.068,"Financial Services"
"2PP.F",29.19,"Financial Services"
"2PP.F",29.356,"Financial Services"
"2PP.F",29.394,"Financial Services"
"2PP.F",29.439,"Financial Services"
"2PP.F",29.442,"Financial Services"
"2PP.F",29.45,"Financial Services"
"2PP.F",29.454,"Financial Services"
"2PP.F",29.627,"Financial Services"
"2PP.F",29.665,"Financial Services"
"2PP.F",29.683,"Financial Services"
"2PP.F",29.697,"Financial Services"
"2PP.F",29.802,"Financial Services"
"2PP.F",29.916,"Financial Services"
"2PP.F",29.932,"Financial Services"
"2PP.F",29.952,"Financial Services"
"2PP.F",29.989,"Financial Services"
"2PP.F",29.992,"Financial Services"
"2PP.F",30,"Financial Services"
"2PP.F",30.061,"Financial Services"
"2PP.F",30.098,"Financial Services"
"2PP.F",30.131,"Financial Services"
"2PP.F",30.196,"Financial Services"
"2PP.F",30.235,"Financial Services"
"2PP.F",30.288,"Financial Services"
"2PP.F",30.291,"Financial Services"
"2PP.F",30.321,"Financial Services"
"2PP.F",30.379,"Financial Services"
"2PP.F",30.381,"Financial Services"
"2PP.F",30.408,"Financial Services"
"2PP.F",30.427,"Financial Services"
"2PP.F",30.467,"Financial Services"
"2PP.F",30.5,"Financial Services"
"2PP.F",30.65,"Financial Services"
"2PP.F",30.707,"Financial Services"
"2PP.F",30.744,"Financial Services"
"2PP.F",30.765,"Financial Services"
"2PP.F",30.833,"Financial Services"
"2PP.F",30.858,"Financial Services"
"2PP.F",31.007,"Financial Services"
"2PP.F",31.047,"Financial Services"
"2PP.F",31.066,"Financial Services"
"2PP.F",31.1,"Financial Services"
"2PP.F",31.171,"Financial Services"
"2PP.F",31.277,"Financial Services"
"2PP.F",31.3,"Financial Services"
"2PP.F",31.349,"Financial Services"
"2PP.F",31.4,"Financial Services"
"2PP.F",31.43,"Financial Services"
"2PP.F",31.495,"Financial Services"
"2PP.F",31.507,"Financial Services"
"2PP.F",31.51,"Financial Services"
"2PP.F",31.675,"Financial Services"
"2PP.F",31.7,"Financial Services"
"2PP.F",31.764,"Financial Services"
"2PP.F",31.837,"Financial Services"
"2PP.F",31.84,"Financial Services"
